Unità immobiliare;Tipologia;Consistenza;Indirizzo;Municipio;Foglio;Mappale;Subalterno;Tipologia destinazione;Utilizzazione;Ente assegnatario;Protocollo/ Repertorio;Estremi contratto ;Oggetto;Durata anni  contr.;Periodo contratto Dal / al;note;periodo
46;appart.;80 mq.;Viale Campania 29;4;394;467;30;Scopi Sociali;Accoglienza genitore - bambino;La STRADA Società Cooperativa Sociale;;In attesa di Registrazione al'Agenzia delle Entrate;Contratto per la concessione in uso gratuito del lotto n. 2 costituito da n. 1 unità immobiliare sita in viale Campania 29, confiscata alla criminalità e trasferita al patrimonio indisponibile del comune di Milano a La Strada Società Cooperativa Sociale. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto;8;15.01.2026 14.01.2034;;marzo 2026
47;appart.;100;via Canonica 6;1;310;330;6;Scopi Sociali;;;;;;;;In corso nuovo Avviso per l'assegnazione;marzo 2026
48;appart.;8 vani;via Canonica 87;8;306;47;763;Scopi Sociali;Progettualità finalizzata all’accoglienza e ospitalità temporanea per adulti senza dimora, giovani migranti e rifugiati richiedenti asilo in situazione di grave marginalità. ;Croce Rossa Italiana, Comitato di Milano Via Marcello Pucci, 7 20142 Milano;Repertorio n. 106352;Ag. Entrate MI 1 09/11/2023 serie 3 X 002851;Contratto per la concessione in uso gratuito del lotto n. 3 costituito da n. 4 immobili siti in via Quintosole 31, via Ripa Porta Ticinese 97/a, via Baldo degli Ubaldi 8 e Via Canonica 87, confiscati alla criminalità e trasferiti al patrimonio indisponibile del Comune di Milano. Durata della concessione anni 4 (quattro) a far tempo dalla sottoscrizione del presente contratto.;4;07.11.2023 06.11.2027;;marzo 2026
49;appart.;60 mq;Via Carnevali A. 105;9;305;1;4;Scopi Sociali;"GESTIONE DIRETTA ""RESIDENZIALITA' SOCIALE TEMPORANEA""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
50;posto auto;10 mq;via Cassinis 55;4;586;50;8;"Fini di lucro, con vincolo di reimpiego dei proventi per finalità sociali""";GESTIONE DIRETTA Finalità di lucro con proventi reimpiegati per scopi sociali;SOGGETTO PRIVATO;;Ag. Entrate MI 1 29/10/2019 serie 3T 26365 ;Contratto di Locazione Direzione Demanio;6+6;08.10.2019 07.10.2031;;marzo 2026
51;uffici e studi privati;153;Via Castelli Giorgio 9;8;127;172;742;Scopi Sociali;;;;;;;;Nuova acquisizione, in attesa di prossimo bando;marzo 2026
52;uffici e studi privati;74;Via Castelli Giorgio 9;8;127;172;743;Scopi Sociali;;;;;;;;Nuova acquisizione, in attesa di prossimo bando;marzo 2026
53;appart.;63,75;Via Catone 17;9;131;482;4;Scopi Sociali;Accoglienza giovani adulti in uscita da Comunità educative;FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS;;In attesa di Registrazione al'Agenzia delle Entrate;Contratto per la concessione in uso gratuito del lotto n. 11 costituito da n. 4 unità immobiliari site in via Massara Dè Capitani 3, via Mercantini luigi 2, via degli Imbriani 48 e via Catone Marco Porzio 17, confiscate alla criminalità e trasferite al patrimonio indisponibile del comune di Milano a Fondazione Fratelli Di San Francesco D’assisi ets. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto.;8;17.12.2025 16.12.2033;"Assegnato a seguito di ultimo Bando 2025 a ""FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS"", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
54;locale comm.le;36 mq;via Cenisio 25;8;261;204;3;Scopi Sociali;Progetto SEMIDIAIUTO C.R.E.S.C.E;"ACEA ODV (Ente Capofila) Via Federico Confalonieri n. 3, 20124, Milano ATS - Azienda Temporanea di Scopo ""LIBERE SINERGIE APS/ETS”";Repertorio n. 106712;Agenzia Entrate Milano 1 Serie 3X n. 002327 del 13/05/2025;Contratto per la concessione in uso gratuito dell’unità immobiliare sita in via Cenisio 25, confiscata alla criminalità e trasferiti al patrimonio indisponibile del comune di Milano all’ATS composta da “ Acea Odv ” (mandataria), e “ Libere Sinergie Aps/Ets ” (mandante ). Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto;8;25.03.2025 24.03.2033;;marzo 2026
55;appart.;4 vani;via Ceriani 14;7;415;148;712 + 713 (ex 13);Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Circolo Arci Il Balzo aps Via Ceriani 14 20153 Milano;Repertorio n. 105473;Ag. Entrate MI 1 12.12.2019 serie 3 8767;Contratto per la concessione in uso gratuito ai sensi dell’art.48 del d.lgs. 159/2011 (codice antimafia) Circolo Arci Il Balzo aps –(c.f. 971526650152) dell’unita’ immobiliare di proprieta’ comunale sita in via Ceriani n.14 ,primo piano a Milano.;6;28.11.2019 27.11.2025;In corso nuovo Avviso per l'assegnazione ;marzo 2026
56;locale comm.le;63 mq;via Ceriani 14;7;415;148;706 (1+31);Scopi Sociali;Progetto “Un balzo con i piedi per terra - famiglie, adolescenti, famiglie con disabili”. Attività finalizzate ad avviare un percorso di protagonismo familiare valorizzando le risorse genitoriali nelle famiglie stesse al fine di prevenire situazioni di disinvestimento scolastico e garantire a ragazzi con difficoltà certificata un contesto comunitario e familiare aperto e rassicurante.;Circolo Arci Il Balzo aps Via Ceriani 14 20153 Milano;Repertorio n. 106593;Ag. Entrate MI 1 22-10-2024 serie 3X 3379;Rinnovo contratto per la concessione in uso gratuito a Circolo Arci Il Balzo aps dei locali di proprietà comunale siti in via Ceriani n. 14 - Milano. Durata della concessione anni 5 (cinque) dal 25/06/2019 fino al 25/06/2024.; 5 ;25.06.2024 24.12.2025;In corso nuovo Avviso per l'assegnazione ;marzo 2026
57;magazzino;18 mq;via Ceriani 14;7;415;149;9;Scopi Sociali;Progetto “Un balzo con i piedi per terra - famiglie, adolescenti, famiglie con disabili”. Attività finalizzate ad avviare un percorso di protagonismo familiare valorizzando le risorse genitoriali nelle famiglie stesse al fine di prevenire situazioni di disinvestimento scolastico e garantire a ragazzi con difficoltà certificata un contesto comunitario e familiare aperto e rassicurante.;Circolo Arci Il Balzo aps Via Ceriani 14 20153 Milano;;;;;;;marzo 2026
58;cantina;19 mq;via Ceriani 14;7;415;149;64;Scopi Sociali;Progetto “Un balzo con i piedi per terra - famiglie, adolescenti, famiglie con disabili”. Attività finalizzate ad avviare un percorso di protagonismo familiare valorizzando le risorse genitoriali nelle famiglie stesse al fine di prevenire situazioni di disinvestimento scolastico e garantire a ragazzi con difficoltà certificata un contesto comunitario e familiare aperto e rassicurante.;Circolo Arci Il Balzo aps Via Ceriani 14 20153 Milano;;;;;;;marzo 2026
59;locale comm.le;46 mq;Largo Cervi F.lli 1;2;232;191;25;Scopi Sociali;Laboratorio di ascolto, indirizzamento e accompagnamento per la promozione di iniziative di auto organizzazione locale intorno ai bisogni di prossimità ed alla cultura della legalità. ;COMIN coop sociale di solidarietà Onlus Via Eleonora Fonseca Pimentel 9 20127 Milano;Repertorio n. 106064;Ag. Entrate MI 1 28.06.2022 serie 3 3935;Contratto per la concessione in uso gratuito ai sensi dell’art.48 del d.lgs. 159/2011 (codice antimafia) a Comin Cooperativa Sociale di solidarieta’ Onlus s.c.r.l. (c.f/p.iva 02340750153) dei locali di proprieta’ comunale siti in Largo f.lli Cervi n.1- Milano.;4;05.04.2022 04.04.2026 ;;marzo 2026
60;appart.;1,5 vani;via Clusone 6;4;440;406;33;Scopi Sociali;Accoglienza giovani adulti in uscita da Comunità educative;ATI tra CAM - CENTRO AUSILIARIO PER I MINORI e ASSOCIAZIONE OKLAHOMA ONLUS;;;;;;"Assegnato a seguito di ultimo Bando 2025 a ""ATI tra CAM - CENTRO AUSILIARIO PER I MINORI e ASSOCIAZIONE OKLAHOMA ONLUS"", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
61;appart.;5,5 vani;via Concilio Vaticano II 3;8;64;17;12;Scopi Sociali;Accoglienza ex detenuti anziani;ASSOCIAZIONE COMUNITA' IL GABBIANO ODV;;;;;;"Assegnato a seguito di ultimo Bando 2025 a ""ASSOCIAZIONE COMUNITA' IL GABBIANO ODV"", in attesa dei Controlli amministrativi in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
62;appart.;26 mq.;Via Confalonieri 36;9;225;330;2;Scopi Sociali;"GESTIONE DIRETTA ""RESIDENZIALITA' SOCIALE TEMPORANEA""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
63;laborat. per arti e mestieri;366 mq;via Curtatone 12;1;478;95;95;Finalità Istituzionali;GESTIONE DIRETTA MiGeneration - Win4youth: Progetti per favorire l’occupazione dei giovani, un locale nel quale sperimentare percorsi di formazione e tirocinio nel campo della caffetteria leggera e del servizio catering. All’interno dell’edificio verrà attivato anche uno sportello di orientamento al lavoro. ;Lo Scrigno Società Cooperativa Sociale Onlus Via Michele Saponaro 36 20142 Milano;Repertorio n. 105849;Ag. Entrate MI 1 04.10.2021 serie 3 6262;Concessione d'uso gratuito a scopi sociali ;5+4;10.12.2018 17.12.2027;;marzo 2026
64;locale comm.le;mq 26;via Dionigi San 1 ;4;584;15;4;"Fini di lucro, con vincolo di reimpiego dei proventi per finalità sociali""";GESTIONE DIRETTA Finalità di lucro con proventi reimpiegati per scopi sociali;CEASOLTREILPREGIUDIZIO COOPERATIVA SOCIALE Viale Sondrio 5, 20124 Milano -MI CF/PI: 11502070961;Repertorio n. 103914;Ag. Entrate MI 1 07.03.2014 serie 3T 2410;Contratto di Locazione Direzione Demanio;6+6;26.02.2014 25.02.2026;;marzo 2026
65;locale comm.le;mq 34 ;via Dionigi San 1 ;4;584;15;5;"Fini di lucro, con vincolo di reimpiego dei proventi per finalità sociali""";GESTIONE DIRETTA Finalità di lucro con proventi reimpiegati per scopi sociali;CEASOLTREILPREGIUDIZIO COOPERATIVA SOCIALE Viale Sondrio 5, 20124 Milano -MI CF/PI: 11502070961;;;;;;;marzo 2026
66;magazzino;45 mq;via Dolomiti 34;2;199;52;706;Scopi Sociali;Accoglienza giovani adulti in uscita da Comunità educative;ATI TRA FONDAZIONE CASA DELLA CARITA' E FONDAZIONE PROGETTO ARCA ONLUS;;;;;;"Assegnato a seguito di ultimo Bando 2025 a ""ATI TRA FONDAZIONE CASA DELLA CARITA' E FONDAZIONE PROGETTO ARCA ONLUS"", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
67;appart.;2,5 vani;via Due Giugno 14;7;415;48;703;Scopi Sociali;;;;;;;;In attesa di prossimo bando;marzo 2026
68;appart.;3 vani;viale Espinasse 106;8;125;340;51;Scopi Sociali;"GESTIONE DIRETTA ""AREA DIRITTI E INCLUSIONE PER FINALITA’ SOCIALI, DI EMERGENZA ABITATIVA ED ACCOGLIENZA IN SITUAZIONI DI FRAGILITÀ""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
69;box;13 mq;viale Espinasse 106;8;125;340;73;Scopi Sociali;"GESTIONE DIRETTA ""AREA DIRITTI E INCLUSIONE PER FINALITA’ SOCIALI, DI EMERGENZA ABITATIVA ED ACCOGLIENZA IN SITUAZIONI DI FRAGILITÀ""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
70;appart.;2,5 vani;via Farini 73;9;187;330;505;Scopi Sociali;"GESTIONE DIRETTA ""RESIDENZIALITA' SOCIALE TEMPORANEA""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
71;appart.;2,5 vani;via Farini 73;9;187;330;4;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Fondazione Somaschi Onlus P.zza XXV Aprile 2 20121 Milano;Repertorio n. 106038;Ag. Entrate MI 1 30.05.2022 serie 3 3256;Rinnovo contratto per la concessione in uso gratuito a Fondazione Somaschi Onlus di una unita’ immobiliare di proprieta’ comunale sita in via Farini 73 a Milano. Durata della concessione anni sei (6) fino al 13/03/2028.;6;14.03.2022 13.03.2028;;marzo 2026
72;appart.;3 vani;via Farini 75;9;187;299;42;Scopi Sociali;"Progetto ""Le Corti di Archè"" Accoglienza Mamma-Bambino";Fondazione Archè Onlus Via Stresa, 6 20125 Milano;Repertorio n. 106139;Ag. Entrate MI 1 28.11.2022 serie 3 6435;Contratto per la concessione in uso gratuito del lotto n. 3 costituito da n. 4 unita’ immmobiliari siti in Milano in via Farini 75, via Litta Modignani 6-8, via Val di Bondo 21, confiscati alla criminalita’ e trasferiti al patrimonio indisponibile del comune di Milano. Durata della concessione anni 6 (sei) a far tempo dalla sottoscrizione del presente contratto;6;08.11.2022 07.11.2028;;marzo 2026
73;appart.;1,5 vani;via Folli 41;3;281;36;19;Scopi Sociali;;;;;;;;Immobile che presenta problematiche ed è oggetto di approfondimenti tecnici;marzo 2026
74;locale comm.le;65 mq;via Fontanelli 9;9;19;423;2;Scopi Sociali;Spazio dedicato alla legalità, con mostra permanente e laboratori formativi aperti alla partecipazione attiva nel quartiere;Associazione Peppino Impastato e Adriana Castelli Milano corso Matteotti 4 20084 Lacchiarella (Mi) CF 97819900156;Repertorio n. 106740;Agenzia Entrate Milano 1 Serie 3X n. 002002 del 05/05/2025;Contratto per la concessione in uso gratuito della unità immobiliare sita in via Fontanelli 9, confiscata alla criminalità e trasferita al patrimonio indisponibile del comune di Milano all’associazione Peppino Impastato e Adriana Castelli Milano. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto;8;30.04.2025 29.04.2033;;marzo 2026
75;appart.;84;Via Gassmann 17;2;110;131;136;Scopi Sociali;Progetto di accoglienza giovani adulti in uscita da Comunità educative che intraprendono percorsi di autonomia ma che necessitano ancora di un accompagnamento al raggiungimento di obiettivi quali la ricerca di un’occupazione stabile, indipendenza economica e/o abitativa;ASSOCIAZIONE KAYROS ONLUS via XV MARTIRI n. 26, C.A.P. 20055 Vimodrone - Mi C.F. 94581610154;;In attesa di Registrazione al'Agenzia delle Entrate;contratto per la concessione in uso gratuito del lotto n. 13 costituito da n. 4 unità immobiliari site in via Vittorio Gassman 15/17 e via Palmanova 91, confiscate alla criminalità e trasferite al patrimonio indisponibile del Comune di Milano a Associazione Kayros Onlus. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto.;8;04.03.2026 03.03.2034;;marzo 2026
76;posto auto;13;Via Gassmann 15/17 ;2;110;131;499;Scopi Sociali;Progetto di accoglienza giovani adulti in uscita da Comunità educative che intraprendono percorsi di autonomia ma che necessitano ancora di un accompagnamento al raggiungimento di obiettivi quali la ricerca di un’occupazione stabile, indipendenza economica e/o abitativa;ASSOCIAZIONE KAYROS ONLUS via XV MARTIRI n. 26, C.A.P. 20055 Vimodrone - Mi C.F. 94581610154;;In attesa di Registrazione al'Agenzia delle Entrate;contratto per la concessione in uso gratuito del lotto n. 13 costituito da n. 4 unità immobiliari site in via Vittorio Gassman 15/17 e via Palmanova 91, confiscate alla criminalità e trasferite al patrimonio indisponibile del Comune di Milano a Associazione Kayros Onlus. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto.;8;04.03.2026 03.03.2034;;marzo 2026
77;box;15;Via Gassmann 15/17;2;110;131;272;Scopi Sociali;Progetto di accoglienza giovani adulti in uscita da Comunità educative che intraprendono percorsi di autonomia ma che necessitano ancora di un accompagnamento al raggiungimento di obiettivi quali la ricerca di un’occupazione stabile, indipendenza economica e/o abitativa;ASSOCIAZIONE KAYROS ONLUS via XV MARTIRI n. 26, C.A.P. 20055 Vimodrone - Mi C.F. 94581610154;;In attesa di Registrazione al'Agenzia delle Entrate;contratto per la concessione in uso gratuito del lotto n. 13 costituito da n. 4 unità immobiliari site in via Vittorio Gassman 15/17 e via Palmanova 91, confiscate alla criminalità e trasferite al patrimonio indisponibile del Comune di Milano a Associazione Kayros Onlus. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto.;8;04.03.2026 03.03.2034;;marzo 2026
78;magazzino;27 mq.;via Gavirate 16;7;300;39;17;"Fini di lucro, con vincolo di reimpiego dei proventi per finalità sociali""";GESTIONE DIRETTA Finalità di lucro con proventi reimpiegati per scopi sociali;SOGGETTO PRIVATO;Repertorio n. 105690;Ag. Entrate MI 1 02.02.2021 serie 3T 2745;Contratto di Locazione Direzione Demanio;6+6;27.01.2021 26.01.2033;;marzo 2026
79;terreno;;Via Giulietti/Palmanova;3;150;132;-;Finalità Istituzionali;GESTIONE DIRETTA del Comune di Milano DC Demanio e Patrimonio;;;;;;;;marzo 2026
80;appart.;50,00;Via Imbonati Carlo 10;9;136;124;27;Scopi Sociali;"GESTIONE DIRETTA ""AREA DIRITTI E INCLUSIONE PER FINALITA’ SOCIALI, DI EMERGENZA ABITATIVA ED ACCOGLIENZA IN SITUAZIONI DI FRAGILITÀ""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
81;locale comm.le;68;Via C. Imbonati 23;9;136;69;1;Scopi Sociali;Progetto finalizzato alla realizzazione di una sede operativa nella forma di “sportello”, in continuità con l’Osservatorio Salute, per garantire un contatto diretto, per esaminare casi e fornire informazioni e indicazioni sui diritti sanitare delle persone;Medicina Democratica Movimento di Lotta per la Salute via dei Carracci n. 2, 20149 Milano C.F. 97349700159;Repertorio n. 106722;Agenzia Entrate Milano 1 Serie 3X n. 001648 del 15/04/2025;Contratto per la concessione in uso gratuito dell’unità immobiliare sita in via Imbonati 23, confiscata alla criminalità e trasferita al patrimonio indisponibile del Comune di Milano a Medicina Democratica Movimento di Lotta per la Salute. Durata della concessione: anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto.;8;07.04.2025 06.04.2033;;marzo 2026
82;appart.;67;Via C. Imbonati 89;9;134;248;40;Scopi Sociali;"GESTIONE DIRETTA ""RESIDENZIALITA' SOCIALE TEMPORANEA""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
83;appart.;1,5 vani;via degli Imbriani 5;9;186;59;5;Scopi Sociali;"GESTIONE DIRETTA ""RESIDENZIALITA' SOCIALE TEMPORANEA""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
84;appart.;42 mq.;Via degli Imbriani 40;9;131;540;3;Scopi Sociali;"GESTIONE DIRETTA ""RESIDENZIALITA' SOCIALE TEMPORANEA""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
85;appart.;80,25;Via degli Imbriani 48;9;131;188;7;Scopi Sociali;Accoglienza giovani adulti in uscita da Comunità educative;FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS;;In attesa di Registrazione al'Agenzia delle Entrate;Contratto per la concessione in uso gratuito del lotto n. 11 costituito da n. 4 unità immobiliari site in via Massara Dè Capitani 3, via Mercantini luigi 2, via degli Imbriani 48 e via Catone Marco Porzio 17, confiscate alla criminalità e trasferite al patrimonio indisponibile del comune di Milano a Fondazione Fratelli Di San Francesco D’assisi ets. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto.;8;17.12.2025 16.12.2033;"Assegnato a seguito di ultimo Bando 2025 a ""FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS"", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
86;laborat. per arti e mestieri;3 vani;via Jaures Jeans 7/9;2;198;139;718;Scopi Sociali;PROGETTO “LA FACTORY DELLA CREATIVITA'”. ;Fondazione Archè Onlus Via Stresa, 6 20125 Milano;Repertorio n. 106231;Ag. Entrate MI 1 13.04.2023 serie 3X 000653;Contratto per la concessione in uso gratuito ai sensi dell’art.48 del d.lgs. 159/2011 (codice antimafia) alla Fondazione Arche’ Onlus Associazione (c.f. 97105280156) dell’unita’ immobiliare di proprieta’ comunale sito in via Jean Jaures 7/9- Milano.;4;07.06.2022 06.06.2026 ;;marzo 2026
87;appart.;8,5 vani;viale Jenner 29/31;9;187;45;707;Scopi Sociali;"GESTIONE DIRETTA ""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";GESTIONE DIRETTA del Comune di Milano Welfare e Salute (convenzione con Rti La Cordata Società Cooperativa Sociale/Fuoriluoghi Scs Onlus/Fondazione Progetto Arca Onlus/Cooperativa Lotta Contro L’emarginazione Coop. Soc. Onlus/A&I Società Cooperativa Sociale Onlus);;Assegnato in concessione con DD n. 5733/2023 DEL 29/06/2023;Concessione d'uso gratuito a scopi sociali ;4;01.07.2023 30.06.2026;;marzo 2026
88;box;14 mq;viale Jenner 29/31;9;187;45;705;Scopi Sociali;"GESTIONE DIRETTA ""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";GESTIONE DIRETTA del Comune di Milano Welfare e Salute (convenzione con Rti La Cordata Società Cooperativa Sociale/Fuoriluoghi Scs Onlus/Fondazione Progetto Arca Onlus/Cooperativa Lotta Contro L’emarginazione Coop. Soc. Onlus/A&I Società Cooperativa Sociale Onlus);;;;;;;marzo 2026
89;appart.;96 mq.;Via Lamarmora 1;1;438;201;4;Scopi Sociali;;;;;;;;In corso nuovo Avviso per l'assegnazione;marzo 2026
90;box;14 mq.;Via Lamarmora 1;1;438;201;5;Scopi Sociali;;;;;;;;In corso nuovo Avviso per l'assegnazione;marzo 2026
91;appart.;5 vani;via Lambro 12;3;315;324;502;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Soc. Coop. Sociale Spazio Aperto Servizi Onlus Via Gorki, 5 20146 Milano;Repertorio n. 106403;Ag. Entrate Mi 1 17/01/2024 Serie 3 X 186;Rinnovo temporaneo contratto per la concessione in uso gratuito a Spazio Aperto Servizi Società Cooperativa Sociale dei locali confiscati alla criminalità organizzata di proprietà comunale siti in via Lambro n. 12. Durata della concessione: 6 (sei) mesi e comunque massimo fino alla determina di assegnazione dell’immobile a seguito di prossimo avviso pubblico;6 mesi;09.12.2023 08.06.2024 ;Durata della concessione: 6 mesi e comunque fino alla Determina di assegnazione a seguito di prossimo avviso pubblico;marzo 2026
92;appart.;45 mq;via Lancetti 24;9;187;177;711;Scopi Sociali;Realizzazione progetto per sostenere ed accompagnare persone con fragilità in percorsi di autonomia abitativa e lavorativa e di inclusione sociale. Il progetto è rivolto a diverse tipologie di destinatari ed è articolato in progettazioni differenti in ognuno dei 4 appartamenti.;Società Cooperativa Sociale Farsi Prossimo Onlus Via San Bernardino 4 20122 Milano;Repertorio n. 106143;Ag. Entrate Mi 1 30/11/2022 Serie 3 6476;Contratto per la concessione in uso gratuito a Farsi Prossimo Onlus Società Cooperativa Sociale del lotto n. 4 costituito da n. 4 immobili confiscati alla criminalità e trasferiti al patrimonio indisponibile del comune di Milano siti in via Lancetti 24 a Milano. Durata della concessione anni 6 (sei) a far tempo dalla sottoscrizione del presente contratto;6;16.11.2022 15.11.2028;;marzo 2026
93;appart.;43 mq;via Lancetti 24;9;187;177;712;Scopi Sociali;Realizzazione progetto per sostenere ed accompagnare persone con fragilità in percorsi di autonomia abitativa e lavorativa e di inclusioen sociale. Il progetto è rivolto a diverse tipologie di destinatari ed è articolato in progettazioni differenti in ognuno dei 4 appartamenti.;Società Cooperativa Sociale Farsi Prossimo Onlus Via San Bernardino 4 20122 Milano;Repertorio n. 106143;Ag. Entrate Mi 1 30/11/2022 Serie 3 6476;Contratto per la concessione in uso gratuito a Farsi Prossimo Onlus Società Cooperativa Sociale del lotto n. 4 costituito da n. 4 immobili confiscati alla criminalità e trasferiti al patrimonio indisponibile del comune di Milano siti in via Lancetti 24 a Milano. Durata della concessione anni 6 (sei) a far tempo dalla sottoscrizione del presente contratto;6;16.11.2022 15.11.2028;;marzo 2026
94;appart.;47 mq;via Lancetti 24;9;187;177;713;Scopi Sociali;Realizzazione progetto per sostenere ed accompagnare persone con fragilità in percorsi di autonomia abitativa e lavorativa e di inclusioen sociale. Il progetto è rivolto a diverse tipologie di destinatari ed è articolato in progettazioni differenti in ognuno dei 4 appartamenti.;Società Cooperativa Sociale Farsi Prossimo Onlus Via San Bernardino 4 20122 Milano;Repertorio n. 106143;Ag. Entrate Mi 1 30/11/2022 Serie 3 6476;Contratto per la concessione in uso gratuito a Farsi Prossimo Onlus Società Cooperativa Sociale del lotto n. 4 costituito da n. 4 immobili confiscati alla criminalità e trasferiti al patrimonio indisponibile del comune di Milano siti in via Lancetti 24 a Milano. Durata della concessione anni 6 (sei) a far tempo dalla sottoscrizione del presente contratto;6;16.11.2022 15.11.2028;;marzo 2026
95;appart.;44 mq;via Lancetti 24;9;187;177;714;Scopi Sociali;Realizzazione progetto per sostenere ed accompagnare persone con fragilità in percorsi di autonomia abitativa e lavorativa e di inclusioen sociale. Il progetto è rivolto a diverse tipologie di destinatari ed è articolato in progettazioni differenti in ognuno dei 4 appartamenti.;Società Cooperativa Sociale Farsi Prossimo Onlus Via San Bernardino 4 20122 Milano;Repertorio n. 106143;Ag. Entrate Mi 1 30/11/2022 Serie 3 6476;Contratto per la concessione in uso gratuito a Farsi Prossimo Onlus Società Cooperativa Sociale del lotto n. 4 costituito da n. 4 immobili confiscati alla criminalità e trasferiti al patrimonio indisponibile del comune di Milano siti in via Lancetti 24 a Milano. Durata della concessione anni 6 (sei) a far tempo dalla sottoscrizione del presente contratto;6;16.11.2022 15.11.2028;;marzo 2026
96;appart.;3,5 vani;via Lanfranco della Pila 57/B;9;78;113;4;Scopi Sociali;Accoglienza genitore - bambino;Società Cooperativa Sociale Farsi Prossimo Onlus Via San Bernardino 4 20122 Milano CF 11062930158;Repertorio n. 106950;Ag. Entrate Mi 1 12/02/2026 Serie 3X 000889;Contratto per la concessione in uso gratuito del lotto n. 4 costituito da n. 2 unità immobiliari site in via Pianell 21 e in via Lanfranco della Pila 57/b, confiscate alla criminalità e trasferite al patrimonio indisponibile del comune di Milano A Farsi Prossimo Onlus Società Cooperativa Sociale. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto.;8;30.01.2026 29.01.2034;;marzo 2026
97;appart.;5 vani;via Leoncavallo 12;3;234;69;20;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Fondazione Somaschi Onlus (Capofila) P.zza XXV Aprile 2 20121 Milano R.T.I - Raggruppamento Temporaneo di Imprese: Fondazione Ambrosiana per la Vita Onlus Cooperativa Sociale Tuttinsieme Centro Ambrosiano di Aiuto alla Vita Fondazione Archè Onlus;Repertorio n. 105706;Ag. Entrate Mi 1 12/03/2021 Serie 3 1933;Contratto per la concessione in uso gratuito di un unico lotto comprensivo di n. 12 unita’ immobiliari alla Fondazione Somaschi Onlus dei locali di proprieta’ comunale siti in milano. Durata Della Concessione Anni Sei A Far Tempo Dalla Data Della Sottoscrizione Del Presente Contratto.;6;17.07.2020 16.07.2026;;marzo 2026
